name,standard_name,parent_company,country_hq,industry,involvement_types,data_sources,confidence_score
Amanet Management & Systems Ltd,,,,,,bdscoalition.ca,0
Amaranth Resources: Mortgage Investors,,,,,,bdscoalition.ca,0
Amathaon Capital,,,,,,bdscoalition.ca,0
Amazon,,,,,"surveillance, military_support","bdscoalition.ca, boycott.thewitness",0.5
Amazon Springs Water,,Primo Water Corp,,,,bdscoalition.ca,0
Ambasa Milk Soda,,Coca-Cola,,,,bdscoalition.ca,0
Ambipur,,Procter and Gamble,,,,bdscoalition.ca,0
AMD Medicom,,,,,,bdscoalition.ca,0
Amdocs Ventures,,,usa,,,bdscoalition.ca,0
Ameri  Premium Date,,,,,,bdscoalition.ca,0
America's Frontier Fund,,,usa,,,bdscoalition.ca,0
American Eagle,,American Eagle,,,,bdscoalition.ca,0
American Farm Investment Corporation,,,,,,bdscoalition.ca,0
American Heritage Chocolate,,Mars,,,,bdscoalition.ca,0
American Israeli Gas Corporation Inc.,,,,,,bdscoalition.ca,0
Ameyal,,Coca-Cola,,,,bdscoalition.ca,0
AMF Pensionsforsakring,,,,,,bdscoalition.ca,0
Amicelli,,Mars,,,,bdscoalition.ca,0
Amika,,Bansk Group,,,,bdscoalition.ca,0
Amir Marketing and Investments in Agriculture Ltd,,,,,,bdscoalition.ca,0
Amiri,,OTB Group,,,,bdscoalition.ca,0
"Amisragas, American Israeli Gas Crop.",,,,,,bdscoalition.ca,0
Amita Juice,,Coca-Cola,,,,bdscoalition.ca,0
Amiti Ventures,,,,,,bdscoalition.ca,0
aMoon,,,,,,bdscoalition.ca,0
Amor Amor Perfume,,Cacharel,,,,bdscoalition.ca,0
Amor Wafer,,Nestle,,,,bdscoalition.ca,0
Amora,,Unilever,,,,bdscoalition.ca,0
Amos Hadar Properties and Investments Ltd.,,Hadar Group,,,,bdscoalition.ca,0
Amostyle,,Triumph International,,,,bdscoalition.ca,0
Amot Investments Ltd,Amot Investments Ltd,,Israel,Real Estate Services,"settlements, occupation","bdscoalition.ca, investigate.afsc.org",0.5
Amplify Capital,,,,,,bdscoalition.ca,0
Amplify LA,,,usa,,,bdscoalition.ca,0
AMPM Stores,,BP,,,,bdscoalition.ca,0
Amy Metom Engineers and Consultants,,,,,,bdscoalition.ca,0
Amy Siskind,,,,,,bdscoalition.ca,0
Anais Anais Perfume,,Cacharel,,,,bdscoalition.ca,0
AnD Ventures,,,,,,bdscoalition.ca,0
Andau Medical Inc.,,,,,,bdscoalition.ca,0
Andrea & Dean Mendel,,,,,,bdscoalition.ca,0
Andrea Beauty,,American International Industries,,,,bdscoalition.ca,0
Andrelon,,Unilever,,,,bdscoalition.ca,0
Andrex,,Kimberly-Clark,,,,bdscoalition.ca,0
Angel Bakeries,,,,,,bdscoalition.ca,0
Angel Soft,,Koch Industries,,,,bdscoalition.ca,0
Anglican Church of Canada,,Canadian Council of Churches,,,,bdscoalition.ca,0
Anglo Saxon Real Estate Agency (Israel 1992),,,,,,bdscoalition.ca,0
Angular Ventures,,,,,,bdscoalition.ca,0
Anima,,,,,,bdscoalition.ca,0
Animal Bar,,Nestle,,,,bdscoalition.ca,0
Ant Lab Eco Service,,,,,,bdscoalition.ca,0
Anterra Capital,,,,,,bdscoalition.ca,0
Anthemis,,,,,,bdscoalition.ca,0
Anthos Capital,,,usa,,,bdscoalition.ca,0
Antigravity Capital,,,usa,,,bdscoalition.ca,0
Antikal,,Procter and Gamble,,,,bdscoalition.ca,0
Antler,,,,,,bdscoalition.ca,0
AnyVision Interactive Technologies,,,,,,bdscoalition.ca,0
Ao Yun,,LVMH,,,,bdscoalition.ca,0
Apaisyl,,Procter and Gamble,,,,bdscoalition.ca,0
Apeira Capital,,,usa,,,bdscoalition.ca,0
AperiamVentures,,,usa,,,bdscoalition.ca,0
Apex Industries,,,,,,bdscoalition.ca,0
API Fish Care,,Mars,,,,bdscoalition.ca,0
Apna Farms,,,,,,bdscoalition.ca,0
Apollinaris,,Coca-Cola,,,,bdscoalition.ca,0
Apollo Microwaves,,,,,,bdscoalition.ca,0.25
Apollo Projects,,,,,,bdscoalition.ca,0
Apostolic Catholic Church (ACC) Canada,,Canadian Council of Churches,,,,bdscoalition.ca,0
"Apostolic Church, Fort Qu'appelle",,,,,,bdscoalition.ca,0
Apotex Inc.,,,,,,bdscoalition.ca,0
Apple Inc.,,,,,,bdscoalition.ca,0
